total_meters,price,floor,floors_count,rooms_count,relative_floor
45.0,12500000,9,22,1,0.4090909090909091
38.0,10250000,11,17,1,0.6470588235294118
35.2,13900000,15,22,1,0.6818181818181818
32.9,11200000,4,22,1,0.18181818181818182
36.0,17000000,2,18,1,0.1111111111111111
36.0,16900000,20,31,1,0.6451612903225806
35.0,17100000,5,12,1,0.4166666666666667
36.6,17200000,15,22,1,0.6818181818181818
30.0,17500000,15,21,1,0.7142857142857143
42.8,17500000,4,12,1,0.3333333333333333
43.0,17400000,6,17,1,0.35294117647058826
41.0,17499000,10,17,1,0.5882352941176471
35.4,18000000,6,12,1,0.5
41.8,18000000,12,25,1,0.48
37.0,18000000,8,14,1,0.5714285714285714
47.0,18000000,19,25,1,0.76
30.0,17900000,8,10,1,0.8
43.2,18000000,12,18,1,0.6666666666666666
26.0,18600000,16,24,1,0.6666666666666666
37.5,18500000,9,29,1,0.3103448275862069
37.5,18500000,7,17,1,0.4117647058823529
42.2,19000000,12,14,1,0.8571428571428571
36.3,19990000,11,36,1,0.3055555555555556
45.0,19950000,12,26,1,0.46153846153846156
34.0,19950000,24,26,1,0.9230769230769231
49.4,20000000,3,14,1,0.21428571428571427
62.2,20000000,13,23,1,0.5652173913043478
45.0,20500000,21,28,1,0.75
44.3,20500000,21,28,1,0.75
42.1,20800000,10,12,1,0.8333333333333334
54.0,20800000,5,14,1,0.35714285714285715
42.1,21000000,8,9,1,0.8888888888888888
36.0,21500000,3,17,1,0.17647058823529413
63.0,21800000,6,24,1,0.25
